Batch size: 512
Timestamp: 2025-08-31T18:51:17.440Z
Sender: 0x24eaF36F9e9faACd8e6212Dd86b78e4d7dADba80
Contract L1: 0xd0e74390a62a4544fafc66941996833d785b3fb0
L2 target: 0x641613d937708a00b3f1e3b327cd96fdf7bef393fe381755d16385257d6909e
Selector: 0x5421de947699472df434466845d68528f221a52fce7ad2934c5dae2e1f1cdc
Value per tx (wei): 10000

tx_hash, status, block_L1
0x5a7599c74f9dddfc79c0617cbb016dc0f7f8759fb926ff622b2073dd5939911f, SUCCESS, 9105405
0xc331c754abff9a8b039e5f8784beb99cea593f820303f031b75bc2d3bea8729a, SUCCESS, 9105405
0x73668aa1999b32481c6179fd50182504c7d9227f362685f7d6625ceb67dfd0a9, SUCCESS, 9105405
0x66a13bd05451984811fa8b9024632ac1a06f10efe7b7ede263eea2bfc19f99ab, SUCCESS, 9105405
0x29537d417da550fc9c74820568903289dcab3d0546f76bbda9f2d62ef5723672, SUCCESS, 9105405
0xfa578cec69c18fe6260b2fa02dee17d96907119d2c3b6d3d5ea931ae0421ddb9, SUCCESS, 9105405
0xdd7403130a05c505f3ffe8038ea1baef7fa2b33b677f246877a3920abf6cc43d, SUCCESS, 9105405
0x55430c3be8a6f537f518332eb14748b441dc51606fd7c050d9dc5a2f4eb450e8, SUCCESS, 9105405
0xd4ac5301d38c0f70baa8337113dfe9668b8499277cc0c645cbbe8e2a6f02536a, SUCCESS, 9105405
0xaa00e4a1de1bb811d1f7221df83ea85c36f1287ce173c12a1042b97c663399f2, SUCCESS, 9105405
0xd73d46348927d1d3814c3bce9fa3fd4e5f9cc73fc1ba03e95796011bde280516, SUCCESS, 9105405
0x2627f05296db3b898bb437682ed3598c637c9f015fd7ffcc5bd5aba4089f95ef, SUCCESS, 9105405
0x33e6ce99018a9353efa8dafc91f155bebca020af0d91d53d7aa8b957fc5aec0b, SUCCESS, 9105406
0xc7d6b040906aee8d1a911cd172c57a2852ca747223d5d5e825807d149721585b, SUCCESS, 9105406
0x73ee8046accabdda31a83db1559f9bbd382d94c8d1c069b10846bba3f404173b, SUCCESS, 9105406
0x29378f3e76f32c95d58170a3b0dd1cfa72fa5ee499d756da630c29944b8ea239, SUCCESS, 9105406
0x4da50ed6950d4352c2b9e8cae7cdf94c53e4b78df2b271651f45fe501f73c186, SUCCESS, 9105406
0xccec4c910ddbad9603e352d31a6ae305dc5553a7fba288a5973197014f4c6934, SUCCESS, 9105406
0x883dc0a012689007e9fd084976b177704647fdf7470d7880a8b01ae3aab72c06, SUCCESS, 9105406
0xe00ccdfa45967afeb6c5d7c040f00ea511a149a662e312da87f6cb89fafa9420, SUCCESS, 9105406
0x0e61a14da86f71b7ac07af859958102221c20449586518de32e5fa6668ecd484, SUCCESS, 9105406
0xd5da444e65eff74c1eef692658cdc0b991e55427d8c234393c3f3223d830a550, SUCCESS, 9105406
0x258bd7930ebcd49a56366ca67fd0e18476847899ee5b4745986122fb447d8d09, SUCCESS, 9105406
0xbfd48e17905f13800620cf849591b740c8c7835b75889eca1d82af3107a9f451, SUCCESS, 9105406
0xe36783a0b41b4ab4aeb6e411538baaa7f768fd6b66c84a89bedb0ecf3b89c0f1, SUCCESS, 9105406
0xf1485d48857f262e91e6ac821053625b03366feeae5821cf040316249a15122e, SUCCESS, 9105407
, ERROR, 
, ERROR, 
, ERROR, 
, ERROR, 
, ERROR, 
, ERROR, 
, ERROR, 
, ERROR, 
, ERROR, 
0x7f8eda545ee8191b9e00a707f4d85cc8b7a1a853e49bab796adf46816133da63, SUCCESS, 9105438
0x150221b6326944ecdb229d716cc20ebfb176032a2a7f895091560cc354f28d4b, SUCCESS, 9105438
0x7d76ee494ba9ef99de82b49b688386aa1b819fcf22ef415dd01ac93031fea34b, SUCCESS, 9105438
0xd5fcb12bbd1e45c494d7b12d59d31a6a1b4ffd02ef032a400ea06c9910d6e17d, SUCCESS, 9105438
0x14007703e6058011bf8f1cbec490403634394b346ba712e30edd41e807bce62c, SUCCESS, 9105438
0xf59fcb74d890265d994aa3010194128d55b8f9637dc2c108f4180c633a475d65, SUCCESS, 9105438
0x0981922f67daceccfe4b6f8e25b3c0fc2d06e60e7d231e6117f3deb9d3eaca08, SUCCESS, 9105438
0xbddd8848a69d1a617925c3abf11dee9dc7de865b8fec358e106e94e7ad0e6b54, SUCCESS, 9105438
0xd0c64ed8b1026a2370daacc5e3178b00b7b4e1a39393d859fae119780a197729, SUCCESS, 9105438
0x8a4496e479103b2fc1718ae0a996e55befeea3bfbe365bb7a629d2988eeb7bc2, SUCCESS, 9105438
0x5fb32d095d2c0b6ab877b3b04cfa9956f7732b765dc0f59df31aa25c0c2c10b5, SUCCESS, 9105438
0x913ea5ad01a405c7f68c44538be67e44e933242815a811dc1a1b5b5992137335, SUCCESS, 9105438
0xaf17c1830844ee5fd6818ef549392ba4a5fa8527e95723c8f7bf693310326c83, SUCCESS, 9105438
0xaab593948782d7642f6aa0f7bf285827d9eec598ec42df4701b58e10bc85a359, SUCCESS, 9105438
0xf36b5da14833967288b59822d31782462db6e048aec0ebc3bf3bbd7f4c4967c7, SUCCESS, 9105438
0x83fb58af65f7f6fb2ff1ac9e4685558f737be646e85c66ac6551739bf01a599d, SUCCESS, 9105438
0x4e14a6f2520842b77a2db9efc20c6f86f460b5283697e9172b649381c9e5149a, SUCCESS, 9105439
0xd5f0009cda78d2d78781fe598ceefd7cab2698d290bd1bfe5f99dccc595b1308, SUCCESS, 9105439
0x825f5b6caf94b43e52f4298e5e0599e8db15bb9df8ac9b7c516fe7c40e5a22bf, SUCCESS, 9105439
0x2af090a4ee5cee183e67ec3b9d90485ca00070f7fc8b8a8200a081b81cef84d4, SUCCESS, 9105439
0x34c4347b6787314853644de0ffea8354ed87b26fc4906ddaf3089c237469d086, SUCCESS, 9105439
0xae729307481f4ea1964fc30bb37e70e9125b9320c1a61b949786c2b569d74833, SUCCESS, 9105439
0x51bf6838bce19ab06848ec5edf66cd54796188842ae7e8732f8e88fdee81fa29, SUCCESS, 9105439
0x1675a108e87ae1434189558f23faadce4677ab47f21eb0a433628d3b222e8ff7, SUCCESS, 9105439
0x856afed56f195dee948c8352360b529dc56b8fd54e24509df342db0a961775a9, SUCCESS, 9105439
0xa6b68fc1dd73b0d0e4c2f91dbfb2f1a0e000b13407e63bb8ce1b3ebc51ec2b90, SUCCESS, 9105440
0x2cd6c2d2b888678c1eea7e18b6d2dc04c6ed51b1629bc09ad15582153280a126, SUCCESS, 9105440
0x89fb2c9e706735367dd6e5d97047cc19007c54a0c8ba9f68dfd52526c5632be8, SUCCESS, 9105440
0x2774487d617bbd1d7af49217c4d2a62649a016e35e9abc4f37df96215e7d1412, SUCCESS, 9105440
0xb863f4a121d0f5155520d781b83d0d6838089bf4d0133778ff2889c9d80eb33b, SUCCESS, 9105440
0xf4667d45adc5b5e80f8fb7390c60ed92571482b38fd348368b3628ece656a55f, SUCCESS, 9105440
0x021485abcd34409d04343d6f667bc6dd7c15e8fdaf64fcd0006fa8af16b1a876, SUCCESS, 9105440
